Name,Price,Size,Energi (kcal),Energi (kJ),Fett,Varav mättat fett,Kolhydrat,Varav sockerarter,Protein,Salt,Kalium,Klorid,Kalcium,Fluorid,Magnesium,Natrium,Vitamin B12,Vitamin B6,Vitamin C,Riboflavin,Niacin,Pantotensyra,Biotin,Krom,Fiber,Folsyra,Vitamin D,Vitamin E,Selen,Zink,Fosfor,Koppar,Järn,Mangan,Varav polyoler,Vitamin A,Tiamin,Citronsyra,url
Måltidsdryck Äpple 2dl ICA,"8,90 kr","1L 8,90 kr/l drickklar",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/m%C3%A5ltidsdryck-%C3%A4pple-2dl-ica/1514878
"Läsk Orange Zero 1,5l Fanta","27,90 kr","1.5L 18,60 kr/l exkl pant",3 kcal,11 kJ,0 g,0 g,0.4 g,0.4 g,0 g,0.01 g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/l%C3%A4sk-orange-zero-1-5l-fanta/1367414
Energidryck Ultra Peachy Keen 50cl Monster Energy,"21,90 kr","0.5L 43,80 kr/l exkl pant",3 kcal,11 kJ,0 g,0 g,0.7 g,0 g,0 g,0.16 g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/energidryck-ultra-peachy-keen-50cl-monster-energy/2131502
Passionfruit Energidryck 50cl Powerade,"25,90 kr","0.5L 51,80 kr/l exkl pant",18 kcal,76 kJ,0 g,0 g,4.1 g,4.1 g,0 g,0.13 g,,,,,,50 mg,,0.11 mg,,,,,,,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/passionfruit-energidryck-50cl-powerade/1467825
Öl Alkoholfri 33cl Staropramen,"18,90 kr","0.33L 57,27 kr/l",12 kcal,50 kJ,0.1 g,0.1 g,2.2 g,1.2 g,0.8 g,0.01 g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/%C3%B6l-alkoholfri-33cl-staropramen/1440332
Bryggkaffe Franskrost 500g Arvid Nordquist Classic,"103,00 kr","0.5kg 206,00 kr/kg",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/bryggkaffe-franskrost-500g-arvid-nordquist-classic/1004402
Bryggkaffe Mellanrost Ekologisk 450g ICA I love eco,"87,00 kr","0.45kg 193,33 kr/kg",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/bryggkaffe-mellanrost-ekologisk-450g-ica-i-love-eco/2021781
Zero Pineapple 50cl Vitamin Well,"26,90 kr","0.5L 53,80 kr/l exkl pant",1 kcal,4 kJ,0 g,0 g,1.3 g,0 g,0 g,0.01 g,,,,,11.3 mg,,0.25 µg,,,,1.6 mg,0.48 mg,5 µg,,,40 µg,1.5 µg,1.4 mg,5 µg,,,,,,1.2 g,,,,https://handlaprivatkund.ica.se/stores/1004181/products/zero-pineapple-50cl-vitamin-well/2131940
"Läsk Fruktsoda 1,5l ICA","19,90 kr","1.5L 13,27 kr/l exkl pant",30 kcal,110 kJ,0 g,0 g,6.5 g,6.4 g,0 g,0 g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/l%C3%A4sk-fruktsoda-1-5l-ica/1467272
Bryggkaffe Skånerost 450g Zoegas,"109,00 kr","0.45kg 242,22 kr/kg",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/bryggkaffe-sk%C3%A5nerost-450g-zoegas/1499231
"Läsk Zero Exotic 1,5l Fanta","27,90 kr","1.5L 18,60 kr/l exkl pant",3 kcal,12 kJ,0 g,0 g,0.5 g,0.4 g,0 g,0.02 g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/l%C3%A4sk-zero-exotic-1-5l-fanta/2031083
Vatten Kolsyrat Jordgubb Granatäpple 33cl 12-p Loka,"45,00 kr","3.96L 11,36 kr/l exkl pant",0 kcal,0 kJ,0 g,0 g,0 g,0 g,0 g,0.04 g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/vatten-kolsyrat-jordgubb-granat%C3%A4pple-33cl-12-p-loka/2073918
Kaffe GranDia 500g Arvid Nordquist Classic,"103,00 kr","0.5kg 206,00 kr/kg",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/kaffe-grandia-500g-arvid-nordquist-classic/1003808
Cider Strawberry & Lime Alkoholfri 33cl Somersby,"16,90 kr","0.33L 51,21 kr/l exkl pant",8 kcal,32 kJ,0 g,0 g,1.7 g,1.6 g,0 g,0 g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/cider-strawberry-lime-alkoholfri-33cl-somersby/2132288
"Öl 3,5% 50cl Mariestads","19,90 kr","0.5L 39,80 kr/l exkl pant",37 kcal,154 kJ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/%C3%B6l-3-5-50cl-mariestads/1524075
Energidryck Mango 33cl Nocco,"26,90 kr","0.33L 81,52 kr/l exkl pant",4 kcal,15 kJ,0 g,0 g,0 g,0 g,0.9 g,0 g,,,,,,,0.76 µg,0.42 mg,,,3.9 mg,,15 µg,,0 g,30 µg,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/energidryck-mango-33cl-nocco/2078475
"Öl Glutenfri Ekologisk 3,5% 25cl Grain d'Orge","24,90 kr","0.25L 99,60 kr/l",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/%C3%B6l-glutenfri-ekologisk-3-5-25cl-grain-d-orge/1520268
Iste Ice tea Peach Burk 33cl Pfanner,"14,90 kr","0.33L 45,15 kr/l exkl pant",25 kcal,108 kJ,0.5 g,0.1 g,6.2 g,6.2 g,0.5 g,0.01 g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/iste-ice-tea-peach-burk-33cl-pfanner/2094025
Källvatten Stilla 65cl Imsdal,"19,90 kr","0.65L 30,62 kr/l exkl pant",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/k%C3%A4llvatten-stilla-65cl-imsdal/1445495
Blandsaft Hallon 50cl BOB,"36,90 kr","4L 9,23 kr/l exkl pant",33 kcal,137 kJ,0 g,0 g,8 g,7.9 g,0 g,0 g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/blandsaft-hallon-50cl-bob/1511366
Mörkrost Bryggkaffe 450g Lindvalls,"78,00 kr","0.45kg 173,33 kr/kg",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/m%C3%B6rkrost-bryggkaffe-450g-lindvalls/1517979
Energidryck Solsken Sockerfri 33cl Latitude 65,"24,90 kr","0.33L 75,45 kr/l exkl pant",1 kcal,4 kJ,0 g,0 g,0 g,0 g,0 g,0 g,,,,,,,,0.4 mg,,,1.2 mg,,15.2 µg,,,151.5 µg,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/energidryck-solsken-sockerfri-33cl-latitude-65/2117368
Lightdryck Smultron 80cl Zeroh,"38,90 kr","8L 4,86 kr/l exkl pant",0.8 kcal,3.3 kJ,0 g,0 g,0 g,0 g,0 g,0 g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/lightdryck-smultron-80cl-zeroh/2126498
Vatten Kolsyrat Mango Lime 50cl Loka,"15,90 kr","0.5L 31,80 kr/l exkl pant",0 kcal,0 kJ,0 g,0 g,0 g,0 g,0 g,0.04 g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/vatten-kolsyrat-mango-lime-50cl-loka/2089690
Vatten Kolsyrad Granatäpple 50cl Ramlösa,"15,90 kr","0.5L 31,80 kr/l exkl pant",,,,,,,,,2 mg,16 mg,3.5 mg,2.3 mg,0.8 mg,210 mg,,,,,,,,,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/vatten-kolsyrad-granat%C3%A4pple-50cl-raml%C3%B6sa/2017030
Original chai te Ekologisk 20-p Pukka,"49,90 kr","20 per frp 2,50 kr/st",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/original-chai-te-ekologisk-20-p-pukka/1465414
Fruktdryck Hallon vattenmelon Sockerfri 50cl Festis,"17,90 kr","0.5L 35,80 kr/l exkl pant",3 kcal,13 kJ,0 g,0 g,0.5 g,0.5 g,0 g,0 g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/fruktdryck-hallon-vattenmelon-sockerfri-50cl-festis/2110666
Kolsyrad Läskedryck Forest Berries Zero Sugar 50cl Fanta,"19,90 kr","0.5L 39,80 kr/l exkl pant",2 kcal,7 kJ,0 g,0 g,0.2 g,0.2 g,0 g,0.02 g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/kolsyrad-l%C3%A4skedryck-forest-berries-zero-sugar-50cl-fanta/2168420
Fruktdryck Cactus & lime 50cl Festis,"17,90 kr","0.5L 35,80 kr/l exkl pant",27 kcal,113 kJ,0 g,0 g,6.3 g,6.3 g,0 g,0 g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/fruktdryck-cactus-lime-50cl-festis/1467530
Enhance 50cl Vitamin Well,"26,90 kr","0.5L 53,80 kr/l exkl pant",16 kcal,66 kJ,0 g,0 g,3.9 g,3.9 g,0 g,0.03 g,,,,,,,0.25 µg,0.14 mg,16 mg,,1.3 mg,0.48 mg,5 µg,,0 g,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/enhance-50cl-vitamin-well/2131864
Läsk 33cl Sprite,"13,90 kr","0.33L 42,12 kr/l exkl pant",37 kcal,158 kJ,0 g,0 g,9 g,9 g,0 g,0.03 g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/l%C3%A4sk-33cl-sprite/2037131
Lättdryck Vattenmelon & hallon Koncentrat 2dl BOB,"11,90 kr","1L 11,90 kr/l drickklar",30 kcal,110 kJ,0 g,0 g,6.5 g,6.5 g,0 g,0 g,,,,,,,,,12 mg,,,,,,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/l%C3%A4ttdryck-vattenmelon-hallon-koncentrat-2dl-bob/1471391
"Pärondryck med ciderkaraktär 1,5l ICA","19,90 kr","1.5L 13,27 kr/l exkl pant",37 kcal,156 kJ,0 g,0 g,9.1 g,9.1 g,0 g,0 g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/p%C3%A4rondryck-med-ciderkarakt%C3%A4r-1-5l-ica/1467261
Söderte 25-p Twinings,"43,90 kr","25 per frp 1,76 kr/st",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/s%C3%B6derte-25-p-twinings/1487006
Måltidsdryck Fläder 2dl ICA,"8,90 kr","1L 8,90 kr/l drickklar",26 kcal,111 kJ,0 g,0 g,6.5 g,6.5 g,0 g,0.01 g,,,,,,,,,16 mg,,,,,,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/m%C3%A5ltidsdryck-fl%C3%A4der-2dl-ica/1514886
Lättdryck Svartvinbär Koncentrat 2dl BOB,"11,90 kr","1L 11,90 kr/l drickklar",30 kcal,110 kJ,0 g,0 g,6.2 g,6 g,0 g,0 g,,,,,,,,,12 mg,,,,,,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/l%C3%A4ttdryck-svartvinb%C3%A4r-koncentrat-2dl-bob/1023242
Natureo Muscat Vitt vin Alkoholfri 75cl Torres,"78,00 kr","0.75L 104,00 kr/l",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/natureo-muscat-vitt-vin-alkoholfri-75cl-torres/1465154
Apelsinjuice med fruktkött 900ml Tropicana,"46,90 kr","0.9L 52,11 kr/l exkl pant",41 kcal,172 kJ,0 g,0 g,9 g,8 g,0.8 g,0.8 g,,,,,,,,,31 mg,,,,,,0.6 g,13 µg,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/apelsinjuice-med-fruktk%C3%B6tt-900ml-tropicana/2038984
English breakfast te 150g Kobbs,"40,90 kr","0.15kg 272,67 kr/kg",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/english-breakfast-te-150g-kobbs/1368802
"Öl 3,5% 50cl Burgenfels","16,90 kr","0.5L 33,80 kr/l exkl pant",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/%C3%B6l-3-5-50cl-burgenfels/1425842
Sparkling drink Aranciata Rossa 6-p 33cl San Pellegrino,"81,00 kr","1.98L 40,91 kr/l exkl pant",38 kcal,161 kJ,0 g,0 g,8.9 g,8.8 g,0.1 g,0.004 g,,,,,,,,,,,,,,,0 g,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/sparkling-drink-aranciata-rossa-6-p-33cl-san-pellegrino/2094888
"Öl Sir Taste a Lot 3,5% 33cl Brutal Brewing","15,90 kr","0.33L 48,18 kr/l exkl pant",38 kcal,158 kJ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/%C3%B6l-sir-taste-a-lot-3-5-33cl-brutal-brewing/2110696
Fruktdryck Äppel 3-p 60ml ICA,"13,90 kr","0.6L 23,17 kr/l",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/fruktdryck-%C3%A4ppel-3-p-60ml-ica/2009987
Fruktdryck Äpple Päron Passionsfrukt 850ml God Morgon®,"47,90 kr","0.85L 56,35 kr/l exkl pant",46 kcal,192 kJ,0 g,0 g,11 g,10 g,0 g,0 g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/fruktdryck-%C3%A4pple-p%C3%A4ron-passionsfrukt-850ml-god-morgon/2151835
Läsk Apelsin 50cl Orangina,"18,90 kr","0.5L 37,80 kr/l exkl pant",39 kcal,164 kJ,0 g,0 g,9.3 g,8.9 g,0.1 g,0 g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/l%C3%A4sk-apelsin-50cl-orangina/1366587
"Öl 3,5% 50cl Pripps Blå","17,90 kr","0.5L 35,80 kr/l exkl pant",32 kcal,134 kJ,0 g,0 g,2.9 g,0 g,0.3 g,0 g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/%C3%B6l-3-5-50cl-pripps-bl%C3%A5/1399567
Rödbetsjuice KRAV 750ml Kung Markatta,"67,00 kr","0.75L 89,33 kr/l",40 kcal,160 kJ,0 g,0 g,8 g,7.5 g,1 g,0 g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/r%C3%B6dbetsjuice-krav-750ml-kung-markatta/1492538
Lightdryck Wild berry Sockerfri 1l Fun Light,"38,90 kr","10L 3,89 kr/l exkl pant",1 kcal,3 kJ,0 g,0 g,0 g,0 g,0 g,0 g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/lightdryck-wild-berry-sockerfri-1l-fun-light/1512961
Läsk Mixers Lemon 1.5l Schweppes,"31,90 kr","1.5L 21,27 kr/l exkl pant",19 kcal,80 kJ,0 g,0 g,4.4 g,4.3 g,0 g,0.02 g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/l%C3%A4sk-mixers-lemon-1-5l-schweppes/2149409
Ginger Beer Alkoholfri 33cl Ginger Joe,"25,90 kr","0.33L 78,48 kr/l",49 kcal,209 kJ,0 g,0 g,12 g,12 g,0 g,0 g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/ginger-beer-alkoholfri-33cl-ginger-joe/1498293
"Äppeldryck med ciderkaraktär Flädersmak 1,5l ICA","19,90 kr","1.5L 13,27 kr/l exkl pant",41 kcal,171 kJ,0 g,0 g,10 g,9.9 g,0 g,0 g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/%C3%A4ppeldryck-med-ciderkarakt%C3%A4r-fl%C3%A4dersmak-1-5l-ica/1467262
Läsk Cola Koffeinfri 50cl Coca-Cola,"19,90 kr","0.5L 39,80 kr/l exkl pant",0.3 kcal,1.4 kJ,0 g,0 g,0 g,0 g,0 g,0.01 g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/l%C3%A4sk-cola-koffeinfri-50cl-coca-cola/2090219
Öl Alkoholfri 33cl Pripps Blå,"10,90 kr","0.33L 33,03 kr/l exkl pant",12 kcal,53 kJ,0 g,0 g,2.7 g,1 g,0.3 g,0 g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/%C3%B6l-alkoholfri-33cl-pripps-bl%C3%A5/2074181
Päroncider 1l Herrljunga,"21,90 kr","1L 21,90 kr/l exkl pant",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/p%C3%A4roncider-1l-herrljunga/1329128
"Öl Lager 3,5% 50cl 6-p Heineken","104,00 kr","3L 34,67 kr/l exkl pant",29 kcal,122 kJ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/%C3%B6l-lager-3-5-50cl-6-p-heineken/1397721
Läsk Mixers Indian Tonic 1.5l Schweppes,"31,90 kr","1.5L 21,27 kr/l exkl pant",19 kcal,82 kJ,0 g,0 g,4.4 g,4.4 g,0 g,0.01 g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/l%C3%A4sk-mixers-indian-tonic-1-5l-schweppes/2149410
Kaffe Mörkrost Brygg 450g Löfbergs,"89,00 kr","0.45kg 197,78 kr/kg",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/kaffe-m%C3%B6rkrost-brygg-450g-l%C3%B6fbergs/2117253
Juice Tropisk 1l Bravo,"32,90 kr","1L 32,90 kr/l",47 kcal,198 kJ,0 g,0 g,11 g,10 g,0.3 g,0 g,,,,,,,,,,,,,,,0.2 g,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/juice-tropisk-1l-bravo/1437721
Juice Äpple Grapefrukt Yuzu 850ml Brämhults,"64,00 kr","0.85L 75,29 kr/l exkl pant",44 kcal,184 kJ,0 g,0 g,11 g,9.9 g,0 g,0 g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/juice-%C3%A4pple-grapefrukt-yuzu-850ml-br%C3%A4mhults/2168313
Lemonade 1l God Morgon®,"36,90 kr","1L 36,90 kr/l",32 kcal,134 kJ,0 g,0 g,7.3 g,6.8 g,0 g,0 g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/lemonade-1l-god-morgon/1464052
Soda Mix Pepsi Max 440cl Sodastream,"81,00 kr","9L 9,00 kr/l drickklar",0.3 kcal,1 kJ,0 g,0 g,0 g,0 g,0 g,0.02 g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/soda-mix-pepsi-max-440cl-sodastream/2052106
Äpplejuice 2l Bravo,"53,00 kr","2L 26,50 kr/l",45 kcal,180 kJ,0 g,0 g,9.5 g,9.5 g,0 g,0 g,,,,,,,,,,,,,,,0.2 g,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/%C3%A4pplejuice-2l-bravo/1364741
Kaffe Presso 450g ICA,"82,00 kr","0.45kg 182,22 kr/kg",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/kaffe-presso-450g-ica/2074978
Hydrate Rabarber & jordgubb 50cl Vitamin Well,"26,90 kr","0.5L 53,80 kr/l exkl pant",17 kcal,71 kJ,0 g,0 g,4.2 g,4.2 g,0 g,0.03 g,,,,,11.3 mg,,0.25 µg,,16 mg,,3.2 mg,0.6 mg,10 µg,,0 g,20 µg,1.5 µg,1.2 mg,,1 mg,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/hydrate-rabarber-jordgubb-50cl-vitamin-well/1477773
Cider Sparkling Rosé Alkoholfri 33cl Somersby,"16,90 kr","0.33L 51,21 kr/l",32 kcal,135 kJ,0 g,0 g,7.5 g,7.4 g,0 g,0.01 g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/cider-sparkling-ros%C3%A9-alkoholfri-33cl-somersby/2031082
Kaffe Reko 450g KRAV Arvid Nordquist Selection,"117,00 kr","0.45kg 260,00 kr/kg",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/kaffe-reko-450g-krav-arvid-nordquist-selection/1476452
Energidryck White edition Kokos & blåbär 250ml Red Bull,"17,90 kr","0.25L 71,60 kr/l exkl pant",45 kcal,191 kJ,0 g,0 g,11 g,11 g,0 g,0.1 g,,,,,,,2 µg,2 mg,,,8 mg,2 mg,,,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/energidryck-white-edition-kokos-bl%C3%A5b%C3%A4r-250ml-red-bull/2017008
Kokkaffe Mellanrost 450g Löfbergs,"89,00 kr","0.45kg 197,78 kr/kg",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/kokkaffe-mellanrost-450g-l%C3%B6fbergs/2032506
"Läsk Pepsi Max 1,5l","25,90 kr","1.5L 17,27 kr/l exkl pant",1 kcal,2 kJ,0 g,0 g,0 g,0 g,0 g,0.01 g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/l%C3%A4sk-pepsi-max-1-5l/1294417
Te Svart Lemon Pyramid 20p Lipton,"31,90 kr","20 per frp 1,60 kr/st",4 kcal,17 kJ,0.5 g,0.1 g,0.5 g,0.5 g,0.5 g,0.01 g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/te-svart-lemon-pyramid-20p-lipton/2139048
Kaffekapslar Espresso 11 Ristretto 10-p L'OR,"55,00 kr","10 per frp 5,50 kr/st",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/kaffekapslar-espresso-11-ristretto-10-p-l-or/2022084
Fruktdryck Fruit Crush Orange 1l God Morgon®,"29,90 kr","1L 29,90 kr/l",30 kcal,125 kJ,0 g,0 g,6.7 g,6.3 g,0 g,0 g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/fruktdryck-fruit-crush-orange-1l-god-morgon/2118437
Lightdryck Watermelon Lemonade Sockerfri 1l Fun Light,"38,90 kr","10L 3,89 kr/l exkl pant",1 kcal,4 kJ,0 g,0 g,0 g,0 g,0 g,0 g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/lightdryck-watermelon-lemonade-sockerfri-1l-fun-light/2105127
Läsk Fanta Zero Hallon ÅP 50cl,"19,90 kr","0.5L 39,80 kr/l exkl pant",2 kcal,7 kJ,0 g,0 g,0.2 g,0.2 g,0 g,0.03 g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/l%C3%A4sk-fanta-zero-hallon-%C3%A5p-50cl/2037104
Läsk Crush Smultron 50cl Loka,"17,90 kr","0.5L 35,80 kr/l exkl pant",22 kcal,90 kJ,0 g,0 g,5 g,4.2 g,0 g,0 g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/l%C3%A4sk-crush-smultron-50cl-loka/2110685
Fruktdryck Drakfrukt Guava Calamansi 1000ml Proviva,"47,90 kr","1L 47,90 kr/l",39 kcal,161 kJ,0.1 g,0 g,9.1 g,8.1 g,0.3 g,0.05 g,,,,,,,,,40 mg,,,,,,0.3 g,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/fruktdryck-drakfrukt-guava-calamansi-1000ml-proviva/2141587
Fruktdryck Nypon 1l Proviva,"43,90 kr","1L 43,90 kr/l",53 kcal,225 kJ,0.1 g,0 g,13 g,11 g,0.2 g,0.03 g,,,,,,,,,35 mg,,,,,,0.5 g,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/fruktdryck-nypon-1l-proviva/2038931
Fruktdryck Hallon Ekologisk 20cl 3-p Festis,"15,90 kr","0.6L 26,50 kr/l",29 kcal,123 kJ,0 g,0 g,6.9 g,6.9 g,0 g,0.01 g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/fruktdryck-hallon-ekologisk-20cl-3-p-festis/2078566
"Läsk Sprite Zero 1,5l","27,90 kr","1.5L 18,60 kr/l exkl pant",1 kcal,5 kJ,0 g,0 g,0 g,0 g,0 g,0.03 g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/l%C3%A4sk-sprite-zero-1-5l/2052353
Energidryck Hajk 33cl Latitude 65,"24,90 kr","0.33L 75,45 kr/l exkl pant",1 kcal,4 kJ,0 g,0 g,0 g,0 g,0 g,0 g,,,,,,,,0.4 mg,,,1.2 mg,,15.2 µg,,,151.5 µg,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/energidryck-hajk-33cl-latitude-65/2131509
Iste Peach 50g Lipton,"13,90 kr","0.05kg 278,00 kr/kg",20 kcal,83 kJ,0.5 g,0.1 g,4.7 g,4.6 g,0.5 g,0.03 g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/iste-peach-50g-lipton/2139041
Vatten Kolsyrad Jordgubb Rabarber 150cl ICA,"11,90 kr","1.5L 7,93 kr/l exkl pant",,,,,,,,,,,6.5 mg,,,,,,,,,,,,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/vatten-kolsyrad-jordgubb-rabarber-150cl-ica/2023832
