Name,Price,Size,Energi (kcal),Energi (kJ),Fett,Varav mättat fett,Kolhydrat,Varav sockerarter,Protein,Salt,Vitamin B12,Vitamin D,Kalcium,Varav fleromättat fett,Varav enkelomättat fett,Vitamin A,Fiber,Vitamin C,Riboflavin,Jod,Pantotensyra,Kalium,Klorid,Fosfor,Molybden,Vitamin K,Natrium,Vitamin E,Magnesium,Selen,Zink,Folsyra,Järn,Vitamin B6,Niacin,Biotin,Tiamin,Varav polyoler,url
A-fil Plus Dofilus Naturell Laktosfri 3% 1000g Arla®,"36,90 kr","1kg 36,90 kr/kg",52 kcal,216 kJ,3 g,1.9 g,1.8 g,1.8 g,3.7 g,0.09 g,,1 µg,122 mg,,,,,,,,,,,,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/a-fil-plus-dofilus-naturell-laktosfri-3-1000g-arla/2018480
Stek och bakmargarin 500g Carlshamn,"32,90 kr","0.5kg 65,80 kr/kg",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/stek-och-bakmargarin-500g-carlshamn/1479669
Havregrädde iMat 13% 1l Oatly,"39,90 kr","1L 39,90 kr/l",150 kcal,600 kJ,13 g,1.6 g,5.8 g,3.6 g,0.9 g,0.11 g,,,,,,,0.8 g,,,,,,,,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/havregr%C3%A4dde-imat-13-1l-oatly/1471192
Smör Normalsaltat Svenskt 82% 250g Arla,"60,00 kr","0.25kg 240,00 kr/kg",739 kcal,3038 kJ,82 g,52 g,0.7 g,0.7 g,0.6 g,1.2 g,,,,1.9 g,20 g,723 µg,,,,,,,,,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/sm%C3%B6r-normalsaltat-svenskt-82-250g-arla/1268161
"Havredryck Naturell 2,8% 1l Oatly","26,90 kr","1L 26,90 kr/l",60 kcal,249 kJ,2.8 g,0.3 g,7.1 g,3.4 g,1.1 g,0.1 g,0.38 µg,1.1 µg,120 mg,,,,0.8 g,,0.21 mg,22.5 µg,,,,,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/havredryck-naturell-2-8-1l-oatly/2023911
Mandeldryck Natur 1l ICA,"25,90 kr","1L 25,90 kr/l",14 kcal,56 kJ,1.2 g,0.1 g,0.5 g,0.5 g,0.5 g,0.12 g,0.38 µg,0.75 µg,120 mg,,,,0.5 g,,0.21 mg,,,,,,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/mandeldryck-natur-1l-ica/1510388
Riven Cheddar/Mozzarella 28% 150g ICA,"31,90 kr","0.15kg 212,67 kr/kg",342 kcal,1419 kJ,26 g,18 g,2 g,0.2 g,24 g,1.6 g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/riven-cheddar-mozzarella-28-150g-ica/1507060
"Havregrädde iMat 13% 2,5dl Oatly","15,90 kr","0.25L 63,60 kr/l",150 kcal,600 kJ,13 g,1.6 g,5.8 g,3.6 g,0.9 g,0.11 g,,,,,,,0.8 g,,,,,,,,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/havregr%C3%A4dde-imat-13-2-5dl-oatly/1268816
Familjefavoriter Port salut skivad 26% 750g Arla,"131,00 kr","0.75kg 174,67 kr/kg",323 kcal,1343 kJ,25 g,16 g,0 g,0 g,24 g,1.7 g,1.4 µg,,704 mg,,,,,,,,,,,,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/familjefavoriter-port-salut-skivad-26-750g-arla/1460698
Chèvre 170 g President,"60,00 kr","0.17kg 352,94 kr/kg",275 kcal,1140 kJ,23 g,16 g,0.5 g,0.5 g,17 g,1.5 g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/ch%C3%A8vre-170-g-president/2107261
Juice Apelsin Äpple & Mandarin 2l Bravo,"53,00 kr","2L 26,50 kr/l",45 kcal,180 kJ,0 g,0 g,9 g,9 g,0 g,0 g,,,,,,,0.3 g,40 mg,,,,,,,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/juice-apelsin-%C3%A4pple-mandarin-2l-bravo/1364759
Fruktdryck Mandarin 1000ml Bravo,"26,90 kr","1L 26,90 kr/l",32 kcal,136 kJ,0 g,0 g,7.6 g,7.4 g,0 g,0 g,,,,,,,,12 mg,,,,,,,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/fruktdryck-mandarin-1000ml-bravo/2151623
Herrgård® ost mild 28% ca 730g Arla Ko®,Ca,"Ca 0.73kg 162,00 kr/kg",360 kcal,1493 kJ,28 g,18 g,0 g,0 g,26 g,1.2 g,1.5 µg,,774 mg,,,,,,,,,,,,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/herrg%C3%A5rd-ost-mild-28-ca-730g-arla-ko/1265134
"Mellanmjölkdryck Laktosfri 1,5% 1l ICA","21,90 kr","1L 21,90 kr/l",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/mellanmj%C3%B6lkdryck-laktosfri-1-5-1l-ica/1407322
"Yoghurt Grekisk Jordgubb Laktosfri 4,8% 150g Valio","15,90 kr","0.15kg 106,00 kr/kg",117 kcal,492 kJ,4.8 g,2.8 g,13 g,12 g,4.9 g,0.1 g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/yoghurt-grekisk-jordgubb-laktosfri-4-8-150g-valio/2151777
Svarta vinbär måltidsdryck 2dl ICA,"8,90 kr","1L 8,90 kr/l drickklar",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/svarta-vinb%C3%A4r-m%C3%A5ltidsdryck-2dl-ica/1514891
"Havregurt Mango 1,4% 1000g Oddlygood®","40,90 kr","1kg 40,90 kr/kg",80 kcal,337 kJ,1.4 g,0.2 g,15 g,8.5 g,1.3 g,0.07 g,0.4 µg,1 µg,120 mg,,,,,,0.21 mg,22.5 µg,,,,,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/havregurt-mango-1-4-1000g-oddlygood/2142036
Cream cheese Naturell Laktosfri 200g Valio Eila,"37,90 kr","0.2kg 189,50 kr/kg",264 kcal,1161 kJ,25 g,14 g,3.5 g,2.6 g,6.3 g,1 g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/cream-cheese-naturell-laktosfri-200g-valio-eila/1475467
Ädel Klassisk 30% Blåmögelost 140g Kvibille®,"42,90 kr","0.14kg 306,43 kr/kg",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/%C3%A4del-klassisk-30-bl%C3%A5m%C3%B6gelost-140g-kvibille/1131648
Smoothie Fokus Äpple Päron Lime 300ml Brämhults,"36,90 kr","0.3L 123,00 kr/l exkl pant",47 kcal,197 kJ,0 g,0 g,11 g,10 g,0 g,0 g,0.22 µg,,,,,,0.4 g,,,,,,,,,,,,30 mg,,,27 µg,,0.13 mg,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/smoothie-fokus-%C3%A4pple-p%C3%A4ron-lime-300ml-br%C3%A4mhults/2091913
Fruktdryck Äpple Apelsin Jordgubb 850ml God Morgon®,"47,90 kr","0.85L 56,35 kr/l exkl pant",42 kcal,177 kJ,0 g,0 g,9.8 g,9 g,0 g,0 g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/fruktdryck-%C3%A4pple-apelsin-jordgubb-850ml-god-morgon/2151836
Lätt Crème fraiche 13% Laktosfri 200g Arla®,"21,90 kr","0.2L 109,50 kr/l",148 kcal,612 kJ,13 g,8.4 g,3.8 g,3.2 g,3.1 g,0.08 g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/l%C3%A4tt-cr%C3%A8me-fraiche-13-laktosfri-200g-arla/2107526
Havredryck Choco 1000ml Fazer Aito,"26,90 kr","1L 26,90 kr/l",59 kcal,248 kJ,2.1 g,0.3 g,7.5 g,5.5 g,2.2 g,0.21 g,0.38 µg,1 µg,120 mg,,,,,,0.21 mg,,,,,,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/havredryck-choco-1000ml-fazer-aito/2142019
Lätt Crème Fraiche Parmesan & Vitlök 12% 2dl Arla Köket®,"24,90 kr","0.2L 124,50 kr/l",143 kcal,591 kJ,12 g,7.8 g,4.5 g,3.4 g,3.7 g,0.93 g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/l%C3%A4tt-cr%C3%A8me-fraiche-parmesan-vitl%C3%B6k-12-2dl-arla-k%C3%B6ket/1390126
Grillost Norrländsk 24% 200g ICA,"39,90 kr","0.2kg 199,50 kr/kg",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/grillost-norrl%C3%A4ndsk-24-200g-ica/2074995
Protein Hazelnut Latte Pudding Laktosfri 200g Arla®,"20,90 kr","0.2kg 104,50 kr/kg",74 kcal,312 kJ,1.5 g,0.9 g,7.8 g,4.7 g,10 g,0.18 g,,1.5 µg,200 mg,,,,0.3 g,,,,,,,,,,,,28.2 mg,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/protein-hazelnut-latte-pudding-laktosfri-200g-arla/2129137
Herrgård mild skivad 28% 150g Arla Ko,"43,90 kr","0.15kg 292,67 kr/kg",360 kcal,1493 kJ,28 g,18 g,0 g,0 g,26 g,1.2 g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/herrg%C3%A5rd-mild-skivad-28-150g-arla-ko/1128901
Lättdryck Äppel Koncentrat 2dl BOB,"11,90 kr","1L 11,90 kr/l drickklar",30 kcal,120 kJ,0 g,0 g,6.9 g,6.5 g,0 g,0 g,,,,,,,,12 mg,,,,,,,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/l%C3%A4ttdryck-%C3%A4ppel-koncentrat-2dl-bob/1023248
"Mjölk Latte Art® Ekologisk 2,6% 1l Arla®","31,90 kr","1L 31,90 kr/l",60 kcal,250 kJ,2.6 g,1.7 g,5.3 g,5.3 g,3.8 g,0.1 g,0.6 µg,,130 mg,,,,,,0.15 mg,12 µg,0.5 mg,160 mg,95 mg,105 mg,4.7 µg,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/mj%C3%B6lk-latte-art-ekologisk-2-6-1l-arla/1506043
"Hushållsost mild 17 % ca 1,1kg Arla",Ca,"Ca 1.1kg 179,00 kr/kg",272 kcal,1134 kJ,17 g,11 g,0 g,0 g,29 g,1.6 g,1.5 µg,,846 mg,,,,,,,,,,,,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/hush%C3%A5llsost-mild-17-ca-1-1kg-arla/1431963
"Lätt A-Fil Acidophilus Naturell 0,5% Ekologisk 1000g Arla®","26,90 kr","1kg 26,90 kr/kg",37 kcal,156 kJ,0.5 g,0.3 g,3.8 g,3.8 g,3.6 g,0.09 g,,1 µg,125 mg,,,,,,,,,,,,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/l%C3%A4tt-a-fil-acidophilus-naturell-0-5-ekologisk-1000g-arla/2018465
Smör & Raps Normalsaltat Laktosfri 70% 500g Bregott®,"84,00 kr","0.5kg 168,00 kr/kg",633 kcal,2602 kJ,70 g,29 g,0.4 g,0.4 g,0.3 g,1.2 g,,20 µg,,9 g,27 g,950 µg,,,,,,,,,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/sm%C3%B6r-raps-normalsaltat-laktosfri-70-500g-bregott/2128985
Frukostjuice Äpple Rabarber Jordgubb Ekologisk 850ml God Morgon®,"43,90 kr","0.85L 51,65 kr/l exkl pant",44 kcal,185 kJ,0 g,0 g,10 g,9.7 g,0 g,0 g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/frukostjuice-%C3%A4pple-rabarber-jordgubb-ekologisk-850ml-god-morgon/2107371
"Vispgrädde Laktosfri 36% 2,5dl ICA","21,90 kr","0.25L 87,60 kr/l",346 kcal,1427 kJ,36 g,23 g,3.2 g,3.2 g,2.4 g,0.06 g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/vispgr%C3%A4dde-laktosfri-36-2-5dl-ica/1407267
Prästost 18m 35% 400g Allerum,"114,00 kr","0.4kg 285,00 kr/kg",400 kcal,1700 kJ,35 g,22 g,0 g,0 g,22 g,1.2 g,1.4 µg,,660 mg,,,320 µg,,,,,,,,,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/pr%C3%A4stost-18m-35-400g-allerum/2013042
Färskost Gräslök laktosfri 100g Creme Bonjour,"18,90 kr","0.1kg 189,00 kr/kg",221 kcal,927 kJ,20 g,16 g,6.6 g,5.2 g,3.3 g,1.2 g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/f%C3%A4rskost-gr%C3%A4sl%C3%B6k-laktosfri-100g-creme-bonjour/2044641
Brie 200g Mon Ami,"43,90 kr","0.2kg 219,50 kr/kg",342 kcal,1432 kJ,30 g,19.8 g,0.1 g,0.1 g,18 g,1.3 g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/brie-200g-mon-ami/2033594
Iskaffe Macchiato Sojabaserad 1l Alpro,"37,90 kr","1L 37,90 kr/l",61 kcal,257 kJ,1.7 g,0.3 g,8.2 g,6.2 g,3 g,0.14 g,0.38 µg,0.75 µg,120 mg,,,,0.5 g,,0.21 mg,,,,,,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/iskaffe-macchiato-sojabaserad-1l-alpro/2112741
"Juice Apelsin 1,75l God Morgon®","73,00 kr","1.75L 41,71 kr/l",43 kcal,183 kJ,0.5 g,0 g,8.8 g,8.8 g,0.7 g,0 g,,,,,,,,20 mg,,,,,,,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/juice-apelsin-1-75l-god-morgon/1403553
Dessert Panna Cotta Jordgubb 190g Grand Dessert,"11,90 kr","0.19kg 62,63 kr/kg",109 kcal,457 kJ,4.3 g,2.8 g,15 g,12 g,2.5 g,0.2 g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/dessert-panna-cotta-jordgubb-190g-grand-dessert/2096382
Mandeldryck Barista Vegansk 1l Alpro,"33,90 kr","1L 33,90 kr/l",24 kcal,99 kJ,1.2 g,0.1 g,2.6 g,2.5 g,0.5 g,0.08 g,,,120 mg,,0.9 g,,0.3 g,,,,,,,,,,0.03 g,,,,,,,,,,,0.2 g,https://handlaprivatkund.ica.se/stores/1004181/products/mandeldryck-barista-vegansk-1l-alpro/2058607
Gräddalternativ Mat Laktosfri 4% 250ml Flora,"15,90 kr","0.25L 63,60 kr/l",60 kcal,251 kJ,4.4 g,1.4 g,4.5 g,1.7 g,1.1 g,0.1 g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/gr%C3%A4ddalternativ-mat-laktosfri-4-250ml-flora/2107639
Matlagningsgrädde Laktosfri 13% 50ml Arla®,"41,90 kr","0.5L 83,80 kr/l",146 kcal,605 kJ,13 g,8.4 g,4.2 g,4.1 g,3.1 g,0.08 g,0.39 µg,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/matlagningsgr%C3%A4dde-laktosfri-13-50ml-arla/2107522
Yoghurt Turkisk Naturell 10% 500g Salakis,"33,90 kr","0.5kg 67,80 kr/kg",130 kcal,530 kJ,10 g,6.6 g,5.1 g,5.1 g,4.2 g,0.1 g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/yoghurt-turkisk-naturell-10-500g-salakis/1312223
Mildost 330g Kavli,"62,00 kr","0.33kg 187,88 kr/kg",130 kcal,550 kJ,7.4 g,4.7 g,0 g,0 g,16 g,2.8 g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/mildost-330g-kavli/2011625
Havredryck Barista Vanilj 3% 1000ml Oddlygood®,"31,90 kr","1L 31,90 kr/l",62 kcal,259 kJ,3 g,0.3 g,7.6 g,4.5 g,1.1 g,0.08 g,0.4 µg,1 µg,120 mg,,,,,,0.21 mg,22.5 µg,,,,,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/havredryck-barista-vanilj-3-1000ml-oddlygood/2107514
"Drickkvarg Smultron Laktosfri 0,8% 330ml Lindahls","22,90 kr","0.33L 69,39 kr/l",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/drickkvarg-smultron-laktosfri-0-8-330ml-lindahls/1527537
Yoghurt Turkisk Naturell 10% Ekologisk 1000g Salakis,"58,00 kr","1kg 58,00 kr/kg",125 kcal,520 kJ,10 g,6.6 g,4.3 g,4.3 g,3.9 g,0.1 g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/yoghurt-turkisk-naturell-10-ekologisk-1000g-salakis/1439636
Matlagningsbas Havre Ekologisk Laktosfri 13% 250ml ICA I love eco,"15,90 kr","0.25L 63,60 kr/l",146 kcal,602 kJ,13 g,1.2 g,5.8 g,3.6 g,0.9 g,0.11 g,,,,,,,0.9 g,,,,,,,,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/matlagningsbas-havre-ekologisk-laktosfri-13-250ml-ica-i-love-eco/2065074
Pizzaost riven 32% 150g Arla Köket,"37,90 kr","0.15kg 252,67 kr/kg",394 kcal,1635 kJ,32 g,21 g,1.4 g,0 g,24 g,1.2 g,,,717 mg,,,,,,,,,,,,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/pizzaost-riven-32-150g-arla-k%C3%B6ket/1499816
Cream cheese Vitlök Laktosfri 200g Valio Eila,"37,90 kr","0.2kg 189,50 kr/kg",250 kcal,1036 kJ,23 g,14 g,4.6 g,2.9 g,6.3 g,1 g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/cream-cheese-vitl%C3%B6k-laktosfri-200g-valio-eila/1475471
Yoghurt Äkta Grekisk Vanilj 0% 500g Larsa Foods,"33,90 kr","0.5kg 67,80 kr/kg",55 kcal,235 kJ,0 g,0 g,4.5 g,3.2 g,9.3 g,0.09 g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/yoghurt-%C3%A4kta-grekisk-vanilj-0-500g-larsa-foods/2092113
Smoothie Berrylicious 250ml Froosh,"20,00 kr","0.25L 80,00 kr/l",57 kcal,242 kJ,0.1 g,0 g,13 g,12 g,0.4 g,0 g,,,,,,,1.1 g,15 mg,,,,,,,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/smoothie-berrylicious-250ml-froosh/1274516
Färskost Naturell 25% 150g Arla,"26,90 kr","0.15kg 179,33 kr/kg",252 kcal,1039 kJ,25 g,16 g,3 g,3 g,4.5 g,0.8 g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/f%C3%A4rskost-naturell-25-150g-arla/1499589
Protein Mjölkdryck Vanilj 5dl Arla®,"22,90 kr","0.5L 45,80 kr/l",45 kcal,189 kJ,0.5 g,0.3 g,4.7 g,4.7 g,5.3 g,0.09 g,0.44 µg,1 µg,176 mg,,,,,,0.14 mg,,0.51 mg,159 mg,100 mg,169 mg,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/protein-mj%C3%B6lkdryck-vanilj-5dl-arla/1486319
Gräddost 38% Mild 400g ICA,"69,00 kr","0.4kg 172,50 kr/kg",420 kcal,1740 kJ,38 g,24 g,0.5 g,0.5 g,19 g,1.6 g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/gr%C3%A4ddost-38-mild-400g-ica/1469980
Margarin Culinesse Flytande 500ml Milda,"29,90 kr","0.5L 59,80 kr/l",621 kcal,2555 kJ,69 g,6.4 g,0.5 g,0.5 g,0.5 g,0.87 g,,6.6 µg,,17 g,45 g,725 µg,,,,,,,,,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/margarin-culinesse-flytande-500ml-milda/2044810
Juice Äpple Mandarin Morot Ekologisk 850ml God Morgon®,"43,90 kr","0.85L 51,65 kr/l exkl pant",44 kcal,184 kJ,0 g,0 g,10 g,9.5 g,0 g,0.02 g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/juice-%C3%A4pple-mandarin-morot-ekologisk-850ml-god-morgon/2018625
Paneer 200g ICA,"37,90 kr","0.2kg 189,50 kr/kg",240 kcal,998 kJ,18 g,12 g,2.5 g,2.5 g,17 g,1 g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/paneer-200g-ica/2150054
Herrgård 28% mellanlagrad ca 750g ICA,Ca,"Ca 0.75kg 143,00 kr/kg",360 kcal,1500 kJ,28 g,18 g,0 g,0 g,27 g,1.2 g,,,750 mg,,,,,,,,,,,,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/herrg%C3%A5rd-28-mellanlagrad-ca-750g-ica/1499881
Paesano 80g Galbani,"36,90 kr","0.08kg 461,25 kr/kg",499 kcal,2078 kJ,35 g,25 g,3 g,0 g,43 g,2 g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/paesano-80g-galbani/1268732
Mellanmål Hallon 175g Risifrutti,"16,90 kr","0.175kg 96,57 kr/kg",111 kcal,463 kJ,3.3 g,2.1 g,17 g,10 g,3.1 g,0.15 g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/mellanm%C3%A5l-hallon-175g-risifrutti/1023583
Pecorino Collesardo 200g ICA,"72,00 kr","0.2kg 360,00 kr/kg",450 kcal,1850 kJ,38 g,25 g,0 g,0 g,26 g,2 g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/pecorino-collesardo-200g-ica/1499780
Hårdost Mozzarella riven 200 g ICA Basic,"32,90 kr","0.2kg 164,50 kr/kg",304 kcal,1263 kJ,22 g,16 g,1.7 g,0 g,25 g,1.3 g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/h%C3%A5rdost-mozzarella-riven-200-g-ica-basic/2133420
Apelsinjuice 1l Bravo,"39,90 kr","1L 39,90 kr/l",45 kcal,180 kJ,0 g,0 g,9 g,9 g,0.7 g,0 g,,,,,,,0.4 g,25 mg,,,,,,,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/apelsinjuice-1l-bravo/1437715
Smör & Raps Extrasaltat 75% 250g Bregott®,"43,90 kr","0.25kg 175,60 kr/kg",678 kcal,2789 kJ,75 g,33 g,0.4 g,0.4 g,0.4 g,1.8 g,,20 µg,,8.7 g,28 g,950 µg,,,,,,,,,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/sm%C3%B6r-raps-extrasaltat-75-250g-bregott/2129109
Färskost Naturell Light 11% 200g Philadelphia,"29,90 kr","0.2kg 149,50 kr/kg",148 kcal,614 kJ,11 g,7.1 g,5.2 g,5.2 g,7.4 g,0.7 g,,,,,,,0.4 g,,,,,,,,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/f%C3%A4rskost-naturell-light-11-200g-philadelphia/1023682
"Plantgurt Protein Yellow Fruits 2,2% 200g Alpro","22,90 kr","0.2kg 114,50 kr/kg",82 kcal,344 kJ,2.2 g,0.4 g,7.2 g,7 g,7.5 g,0.18 g,0.38 µg,0.75 µg,120 mg,,,,1 g,,,,,,,,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/plantgurt-protein-yellow-fruits-2-2-200g-alpro/2142016
"Kefir Naturell Laktosfri 2,5% 1000g Valio","32,90 kr","1kg 32,90 kr/kg",55 kcal,229 kJ,2.5 g,1.5 g,3.3 g,3.3 g,3.9 g,0.1 g,,1 µg,120 mg,,,,,,,,,,,,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/kefir-naturell-laktosfri-2-5-1000g-valio/1487097
Spraygrädde 35% 250g ICA,"44,90 kr","0.25kg 179,60 kr/kg",336 kcal,1383 kJ,35 g,25 g,2.9 g,2.9 g,2.3 g,0.08 g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/spraygr%C3%A4dde-35-250g-ica/1527961
"Vaniljvisp 2,5dl Dreamy Dessert","20,90 kr","0.25L 83,60 kr/l",177 kcal,738 kJ,10 g,6.8 g,18 g,18 g,3.9 g,0.13 g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/vaniljvisp-2-5dl-dreamy-dessert/2092205
Yoghurtdryck Mangolassi 250ml Larsa foods,"10,90 kr","0.25L 43,60 kr/l",65 kcal,273 kJ,1.8 g,1.2 g,10 g,7.8 g,1.5 g,0.08 g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/yoghurtdryck-mangolassi-250ml-larsa-foods/1520562
Smör & Raps Normalsaltat 75% 250g Bregott®,"43,90 kr","0.25kg 175,60 kr/kg",678 kcal,2789 kJ,75 g,33 g,0.4 g,0.4 g,0.4 g,1.2 g,,20 µg,,8.7 g,28 g,950 µg,,,,,,,,,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/sm%C3%B6r-raps-normalsaltat-75-250g-bregott/2129114
Gårdsgoda Smör & Raps Normalsaltat 75% 250g Valio,"35,90 kr","0.25kg 143,60 kr/kg",667 kcal,2790 kJ,75 g,31 g,0.5 g,0.5 g,0.4 g,1.4 g,,20 µg,,,,,,,,,,,,,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/g%C3%A5rdsgoda-sm%C3%B6r-raps-normalsaltat-75-250g-valio/2107494
Matlagningsyoghurt Grekisk 10% 450g ICA Selection,"36,90 kr","0.45kg 82,00 kr/kg",130 kcal,540 kJ,10 g,6.2 g,4 g,4 g,6 g,0.11 g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/matlagningsyoghurt-grekisk-10-450g-ica-selection/2150643
