Name,Price,Size,Energi (kcal),Energi (kJ),Fett,Varav mättat fett,Kolhydrat,Varav sockerarter,Fiber,Protein,Salt,Varav polyoler,Vitamin B12,Vitamin D,Folsyra,Selen,Vitamin A,Natrium,Kalcium,Järn,Material,Varav fleromättat fett,Varav enkelomättat fett,Vitamin C,Riboflavin,url
Filébitar Vegansk Fryst 320g Hälsans Kök,"53,00 kr","0.32kg 165,63 kr/kg",151 kcal,631 kJ,4.7 g,0.4 g,1.2 g,0.1 g,5.9 g,23 g,1.4 g,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/fil%C3%A9bitar-vegansk-fryst-320g-h%C3%A4lsans-k%C3%B6k/2011974
Wokmix Fryst 900g ICA,"44,90 kr","0.9kg 49,89 kr/kg",,,,,,,,,,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/wokmix-fryst-900g-ica/1399390
Glass Jordgubb 1-p GB Glace,"33,90 kr",,358 kcal,1497 kJ,21 g,14 g,38 g,28 g,1.1 g,3.6 g,0.31 g,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/glass-jordgubb-1-p-gb-glace/2154459
Gräddglass Vit choklad 500ml SIA Glass,"24,90 kr","0.5L 49,80 kr/l",230 kcal,1000 kJ,13 g,7.7 g,24 g,23 g,0 g,4.2 g,0.1 g,0 g,0 µg,0 µg,0 µg,0 µg,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/gr%C3%A4ddglass-vit-choklad-500ml-sia-glass/1510229
Baljväxtfärs 500g Anamma,"83,00 kr","0.5kg 166,00 kr/kg",170 kcal,712 kJ,7 g,0.6 g,9.3 g,1.3 g,4.7 g,15 g,0.77 g,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/baljv%C3%A4xtf%C3%A4rs-500g-anamma/2119867
Kycklingben Fryst 1kg Kronfågel,"49,90 kr","1kg 49,90 kr/kg",120 kcal,500 kJ,6 g,1.2 g,0.5 g,0.5 g,,16 g,0.6 g,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/kycklingben-fryst-1kg-kronf%C3%A5gel/1003496
Glass Chocolatey Love A-Fair 465ml Ben & Jerrys,"80,00 kr","0.465L 172,04 kr/l",233 kcal,979 kJ,14 g,9.5 g,23 g,22 g,,3.6 g,0.35 g,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/glass-chocolatey-love-a-fair-465ml-ben-jerrys/2103187
Glass Daimstrut mini 6-pack GB Glace,"61,00 kr","6 per frp 10,17 kr/st",336 kcal,1404 kJ,17 g,12 g,43 g,29 g,,4.1 g,0.21 g,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/glass-daimstrut-mini-6-pack-gb-glace/1259083
Jordgubbstärningar 250g ICA,"28,90 kr","0.25kg 115,60 kr/kg",30 kcal,140 kJ,0.5 g,0 g,6.4 g,4.7 g,1.4 g,0.5 g,0 g,,,,99 µg,,,,,,,,,35 mg,,https://handlaprivatkund.ica.se/stores/1004181/products/jordgubbst%C3%A4rningar-250g-ica/2038028
Singapore Firecracker 350g Chicken Dafgård,"49,90 kr","0.35kg 142,57 kr/kg",161 kcal,673 kJ,2.4 g,0.4 g,25 g,5.3 g,1.9 g,8.1 g,1.3 g,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/singapore-firecracker-350g-chicken-dafg%C3%A5rd/2077932
Vegoschnitzel Glutenfri 750g Anamma,"114,00 kr","0.75kg 152,00 kr/kg",228 kcal,955 kJ,13 g,1 g,13 g,0.9 g,4.4 g,12 g,1 g,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/vegoschnitzel-glutenfri-750g-anamma/2054869
Glass Vanilj med Mango & Passionfruktsås 900 ml ICA,"46,90 kr","0.9L 52,11 kr/l",196 kcal,823 kJ,7.5 g,4.9 g,30 g,28 g,,2.5 g,0.19 g,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/glass-vanilj-med-mango-passionfrukts%C3%A5s-900-ml-ica/2107475
Dill Finhackad Fryst 40g ICA,"14,90 kr","0.04kg 372,50 kr/kg",40 kcal,170 kJ,0.5 g,0.5 g,3 g,1.2 g,3.6 g,4.3 g,0.1 g,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/dill-finhackad-fryst-40g-ica/1475152
Isglass Calippo Cola 105ml GB Glace,"22,90 kr",,83 kcal,361 kJ,0.5 g,0.5 g,20 g,17 g,,0.5 g,0.01 g,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/isglass-calippo-cola-105ml-gb-glace/1294905
Pyttipanna 1kg ICA,"53,00 kr","1kg 53,00 kr/kg",,,,,,,,,,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/pyttipanna-1kg-ica/2018322
Hallonsorbet 500ml Sia Glass,"26,90 kr","0.5L 53,80 kr/l",140 kcal,600 kJ,0.5 g,0.5 g,33 g,31 g,0 g,0.5 g,0 g,,0 µg,0 µg,0 µg,0 µg,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/hallonsorbet-500ml-sia-glass/2035388
Broccolibuketter Fryst 800g ICA,"36,90 kr","0.8kg 46,13 kr/kg",,,,,,,,,,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/broccolibuketter-fryst-800g-ica/1023200
Glasspinne Ananas Split 8-p Triumf Glass,"52,00 kr","8 per frp 6,50 kr/st",180 kcal,750 kJ,8.7 g,6.6 g,23 g,23 g,,1.4 g,0.09 g,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/glasspinne-ananas-split-8-p-triumf-glass/2086312
Köttbullar Små Delikatess Fryst 420g Felix,"71,00 kr","0.42kg 169,05 kr/kg",239 kcal,1002 kJ,17 g,6.8 g,6.2 g,2.9 g,,15 g,1.6 g,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/k%C3%B6ttbullar-sm%C3%A5-delikatess-fryst-420g-felix/2014036
Jordgubbar Fryst 500g ICA Basic,"32,90 kr","0.5kg 65,80 kr/kg",30 kcal,120 kJ,0.5 g,0 g,5.2 g,4.7 g,1.3 g,0.7 g,0 g,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/jordgubbar-fryst-500g-ica-basic/1521102
Potatiskroketter Fryst 600g ICA,"28,90 kr","0.6kg 48,17 kr/kg",180 kcal,750 kJ,7.5 g,0.9 g,25 g,0.5 g,2.3 g,2.6 g,1.2 g,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/potatiskroketter-fryst-600g-ica/1365758
Blåmusslor Fryst 450g ICA,"54,00 kr","0.45kg 120,00 kr/kg",,,,,,,,,,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/bl%C3%A5musslor-fryst-450g-ica/1396496
Skin-On Fries Home Style Fryst 750g Lamb Weston,"48,90 kr","0.75kg 65,20 kr/kg",163 kcal,685 kJ,5.5 g,0.7 g,25 g,0.3 g,2.7 g,2.2 g,0.55 g,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/skin-on-fries-home-style-fryst-750g-lamb-weston/2046369
Chicken nuggets Fryst 1kg ICA Basic,"61,00 kr","1kg 61,00 kr/kg",238 kcal,995 kJ,12 g,1.8 g,22 g,0.6 g,,10 g,1.1 g,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/chicken-nuggets-fryst-1kg-ica-basic/1411116
"Gräddglass Gammaldags vanilj 0,5l Triumf Glass","24,90 kr","0.5L 49,80 kr/l",200 kcal,850 kJ,11 g,7.2 g,23 g,22 g,,2.9 g,0.18 g,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/gr%C3%A4ddglass-gammaldags-vanilj-0-5l-triumf-glass/1434799
Surimisticks 200g ICA,"22,90 kr","0.2kg 114,50 kr/kg",84 kcal,357 kJ,0.6 g,0.5 g,11 g,5.4 g,,8.8 g,1.7 g,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/surimisticks-200g-ica/2119179
Vegetariska Filéer Fryst 312g Quorn,"47,90 kr","0.312kg 153,53 kr/kg",,,,,,,,,,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/vegetariska-fil%C3%A9er-fryst-312g-quorn/1344992
Glass Sitting Bull 1-p Triumf Glass,"20,90 kr","0.094L 222,34 kr/l",330 kcal,1350 kJ,19 g,8.8 g,35 g,35 g,,2.2 g,0.15 g,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/glass-sitting-bull-1-p-triumf-glass/2086186
Pizza Ristorante Salame Mozzarella Pesto Fryst 360g Dr. Oetker,"48,90 kr","0.36kg 135,83 kr/kg",252 kcal,1055 kJ,13 g,4.5 g,22 g,2.8 g,2.2 g,9.2 g,1.2 g,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/pizza-ristorante-salame-mozzarella-pesto-fryst-360g-dr-oetker/2093812
Jordgubbar Fryst 1kg ICA Basic,"41,90 kr","1kg 41,90 kr/kg",30 kcal,130 kJ,0.5 g,0 g,5.2 g,4.7 g,1.3 g,0.7 g,,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/jordgubbar-fryst-1kg-ica-basic/1410805
Chokladsås 300g ICA,"38,90 kr","0.3kg 129,67 kr/kg",315 kcal,1331 kJ,5 g,4.5 g,65 g,34 g,,1.5 g,0.3 g,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/choklads%C3%A5s-300g-ica/1278642
Delikatessköttbullar Små 420g Leif Mannerström,"49,90 kr","0.42kg 118,81 kr/kg",145 kcal,606 kJ,10 g,4.7 g,7.5 g,1.9 g,1.3 g,4.8 g,1.1 g,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/delikatessk%C3%B6ttbullar-sm%C3%A5-420g-leif-mannerstr%C3%B6m/2077925
Ost & skinkpaj Fryst 220g ICA,"36,90 kr","0.22kg 167,73 kr/kg",330 kcal,961 kJ,12 g,6.1 g,19 g,1.8 g,0.9 g,11 g,0.98 g,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/ost-skinkpaj-fryst-220g-ica/1387325
Italienska Kalvfärsbiffar 400g Dafgård,"41,90 kr","0.4kg 104,75 kr/kg",164 kcal,687 kJ,8.3 g,2.3 g,15 g,1.3 g,1.5 g,5.2 g,1.1 g,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/italienska-kalvf%C3%A4rsbiffar-400g-dafg%C3%A5rd/2093864
Färs Formbar Vegansk Fryst 850g Anamma,"114,00 kr","0.85kg 134,12 kr/kg",162 kcal,679 kJ,9.2 g,0.7 g,1.6 g,0.7 g,6.2 g,15 g,0.7 g,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/f%C3%A4rs-formbar-vegansk-fryst-850g-anamma/2011316
Glass Chunky Monkey 465ml Ben & Jerrys,"80,00 kr","0.465L 172,04 kr/l",278 kcal,1168 kJ,17 g,9.7 g,28 g,27 g,,4.1 g,0.15 g,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/glass-chunky-monkey-465ml-ben-jerrys/2130365
Pirog Margherita 140g Gorbys,"17,90 kr","0.14kg 127,86 kr/kg",249 kcal,1040 kJ,7.6 g,3.7 g,34 g,2.1 g,2 g,11 g,1.3 g,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/pirog-margherita-140g-gorbys/2093750
Vår Finaste Choklad Stracciatella 500ml SIA GLASS,"63,00 kr","0.5L 126,00 kr/l",310 kcal,1300 kJ,21 g,13 g,25 g,24 g,0 g,3 g,0.2 g,0 g,0 µg,0 µg,0 µg,0 µg,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/v%C3%A5r-finaste-choklad-stracciatella-500ml-sia-glass/2109129
Glass Gammeldags Vanilj 500ml GB Gräddglass,"24,90 kr","0.5L 49,80 kr/l",117 kcal,488 kJ,8 g,5.3 g,9.1 g,9.1 g,,2 g,0.07 g,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/glass-gammeldags-vanilj-500ml-gb-gr%C3%A4ddglass/2067304
"Krögarpytt Klassisk Fryst 1,5kg Felix","131,00 kr","1.5kg 87,33 kr/kg",148 kcal,620 kJ,8.4 g,1.6 g,13 g,2.5 g,,4.4 g,1 g,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/kr%C3%B6garpytt-klassisk-fryst-1-5kg-felix/1487595
Svampmix Fryst 500g ICA,"36,90 kr","0.5kg 73,80 kr/kg",15 kcal,60 kJ,0.5 g,0 g,0.5 g,0.2 g,2.5 g,2.5 g,0.1 g,,,,,,,0.1 g,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/svampmix-fryst-500g-ica/1415460
Körsbär Sura Kärnfria 300g Ledo,"36,90 kr","0.3kg 123,00 kr/kg",55 kcal,231 kJ,0.3 g,0.1 g,12 g,12 g,1.3 g,1.4 g,0 g,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/k%C3%B6rsb%C3%A4r-sura-k%C3%A4rnfria-300g-ledo/2154573
Pommes frites Fryst 1kg ICA,"33,90 kr","1kg 33,90 kr/kg",130 kcal,550 kJ,3.7 g,0.5 g,20 g,0.5 g,3 g,2.5 g,,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/pommes-frites-fryst-1kg-ica/1365760
Pannbiff 400g Dafgård,"41,90 kr","0.4kg 104,75 kr/kg",153 kcal,642 kJ,9 g,3 g,12 g,1.6 g,1.5 g,5.1 g,1 g,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/pannbiff-400g-dafg%C3%A5rd/2093868
Chicken Teriyaki 350g Dafgård,"51,00 kr","0.35kg 145,71 kr/kg",144 kcal,604 kJ,3.6 g,0.7 g,20 g,7.2 g,1.6 g,7.2 g,1.3 g,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/chicken-teriyaki-350g-dafg%C3%A5rd/2077930
Pasta alfredo Måltid Fryst 400g Findus,"44,90 kr","0.4kg 112,25 kr/kg",153 kcal,642 kJ,6.1 g,2.7 g,18 g,2.3 g,0.8 g,6.1 g,0.78 g,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/pasta-alfredo-m%C3%A5ltid-fryst-400g-findus/1006442
Dumplings grönsaker 400g ICA Basic,"42,90 kr","0.4kg 107,25 kr/kg",146 kcal,616 kJ,1.9 g,0.2 g,26 g,1.9 g,2.2 g,5.1 g,1.2 g,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/dumplings-gr%C3%B6nsaker-400g-ica-basic/2138898
Cevapcici 380g Dafgårds,"41,90 kr","0.38kg 110,26 kr/kg",145 kcal,605 kJ,8.5 g,3 g,11 g,2.1 g,1.5 g,4.9 g,0.97 g,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/cevapcici-380g-dafg%C3%A5rds/2154139
Glass Jordgubb & Lemon Curd 1.75ml Triumf Glass,"39,00 kr","1.75L 22,29 kr/l",190 kcal,800 kJ,9.6 g,6.3 g,24 g,23 g,,3 g,0.19 g,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/glass-jordgubb-lemon-curd-1-75ml-triumf-glass/2154441
Lyxlasagne 390g Dafgård,"51,00 kr","0.39kg 130,77 kr/kg",196 kcal,821 kJ,11 g,5.4 g,16 g,2.7 g,1 g,9.2 g,1.1 g,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/lyxlasagne-390g-dafg%C3%A5rd/2101432
Stenugnsbakad pizza Vegetale Fryst 360g ICA,"41,90 kr","0.36kg 116,39 kr/kg",190 kcal,800 kJ,6 g,1.8 g,26 g,4.3 g,2.4 g,7 g,0.95 g,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/stenugnsbakad-pizza-vegetale-fryst-360g-ica/1026462
Glass Heavenly Chocolate Mjölk och laktosfri Vegansk 750ml Choice,"42,90 kr","0.75L 57,20 kr/l",169 kcal,711 kJ,6.1 g,5.1 g,27 g,16 g,,1.6 g,0.29 g,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/glass-heavenly-chocolate-mj%C3%B6lk-och-laktosfri-vegansk-750ml-choice/2077398
Filled Crêpes Tomato Mozzarella 240g Findus,"46,90 kr","0.24kg 195,42 kr/kg",180 kcal,753 kJ,8 g,1.8 g,21 g,4.1 g,1 g,5.4 g,0.86 g,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/filled-cr%C3%AApes-tomato-mozzarella-240g-findus/2155551
Dessertglass Spectacu-love 465ml Ben & Jerrys,"80,00 kr","0.465L 172,04 kr/l",294 kcal,1233 kJ,19 g,11 g,26 g,22 g,0.5 g,3.8 g,0.23 g,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/dessertglass-spectacu-love-465ml-ben-jerrys/2143313
Vitlöksbaguetter Fryst 2-p 350g ICA Basic,"18,90 kr","0.35kg 54,00 kr/kg",292 kcal,1227 kJ,9.8 g,2.7 g,43 g,2.4 g,2.4 g,6.7 g,1.4 g,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/vitl%C3%B6ksbaguetter-fryst-2-p-350g-ica-basic/1411066
Panpizza Original Fryst 170g Billys,"18,90 kr","0.17kg 111,18 kr/kg",246 kcal,1029 kJ,10 g,4 g,28 g,1.8 g,1.5 g,11 g,1 g,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/panpizza-original-fryst-170g-billys/1006460
Extra allt vesuvio Minipizza Fryst 165g Grandiosa,"27,90 kr","0.165kg 169,09 kr/kg",240 kcal,1000 kJ,10 g,4.7 g,24 g,2 g,,12 g,1.1 g,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/extra-allt-vesuvio-minipizza-fryst-165g-grandiosa/1471150
Jumbo frites Fryst 750g ICA,"29,90 kr","0.75kg 39,87 kr/kg",140 kcal,600 kJ,3.5 g,0.5 g,23 g,0.5 g,2.9 g,2.2 g,0.3 g,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/jumbo-frites-fryst-750g-ica/1421521
Kycklinglasagne 390g Dafgård,"41,90 kr","0.39kg 107,44 kr/kg",178 kcal,745 kJ,8.8 g,4.6 g,16 g,2.2 g,0.9 g,7.7 g,1 g,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/kycklinglasagne-390g-dafg%C3%A5rd/2093875
Formbröd Vita Toast Glutenfri Fryst 500g Fria,"40,90 kr","0.5kg 81,80 kr/kg",260 kcal,1100 kJ,3.8 g,0.6 g,52 g,4.3 g,4.1 g,1.5 g,1.3 g,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/formbr%C3%B6d-vita-toast-glutenfri-fryst-500g-fria/2033530
Bröd Grova Glutenfri Fryst 500g Fria,"40,90 kr","0.5kg 81,80 kr/kg",260 kcal,1100 kJ,3.8 g,0.6 g,53 g,8.3 g,5.4 g,1.2 g,1.3 g,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/br%C3%B6d-grova-glutenfri-fryst-500g-fria/2033526
Krögarpytt klassissk Fryst 720g Felix,"67,00 kr","0.72kg 93,06 kr/kg",148 kcal,620 kJ,8.4 g,1.6 g,13 g,2.5 g,,4.4 g,1 g,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/kr%C3%B6garpytt-klassissk-fryst-720g-felix/1487594
Glass Chocolate & Vanilla Half Baked 465ml Ben & Jerrys,"80,00 kr","0.465L 172,04 kr/l",265 kcal,1111 kJ,13 g,8.1 g,32 g,27 g,1.3 g,4.2 g,0.21 g,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/glass-chocolate-vanilla-half-baked-465ml-ben-jerrys/2054683
Gräddglass Choklad 500ml SIA Glass,"24,90 kr","0.5L 49,80 kr/l",250 kcal,1050 kJ,13 g,6.3 g,27 g,26 g,0 g,4.7 g,0.1 g,0 g,0 µg,0 µg,0 µg,0 µg,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/gr%C3%A4ddglass-choklad-500ml-sia-glass/1008927
Glass Sweet Mango Memories 465ml Ben & Jerrys,"80,00 kr","0.465L 172,04 kr/l",255 kcal,1071 kJ,15 g,10 g,26 g,24 g,0.5 g,3.6 g,0.14 g,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/glass-sweet-mango-memories-465ml-ben-jerrys/2153943
Fajitapaj 240g Dafgård,"39,90 kr","0.24kg 166,25 kr/kg",269 kcal,1125 kJ,17 g,8.7 g,20 g,3.1 g,1.2 g,9.1 g,0.94 g,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/fajitapaj-240g-dafg%C3%A5rd/2143253
Hallon & blåbär Fryst 250g ICA,"37,90 kr","0.25kg 151,60 kr/kg",44 kcal,182 kJ,0.7 g,0.1 g,6.6 g,5.3 g,3.4 g,0.9 g,0.01 g,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/hallon-bl%C3%A5b%C3%A4r-fryst-250g-ica/1026473
Chicken Alfredo 390g Dafgård,"41,90 kr","0.39kg 107,44 kr/kg",134 kcal,560 kJ,4.7 g,2.6 g,15 g,1.6 g,0.8 g,7 g,0.81 g,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/chicken-alfredo-390g-dafg%C3%A5rd/2101434
Pan Pizza Classic mini 190g Grandiosa,"27,90 kr","0.19kg 146,84 kr/kg",244 kcal,1020 kJ,9.2 g,3.7 g,29 g,2.5 g,,10 g,1.1 g,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/pan-pizza-classic-mini-190g-grandiosa/2039304
Dillkyckling Leif Mannerström 400g Dafgård,"51,00 kr","0.4kg 127,50 kr/kg",107 kcal,447 kJ,5.2 g,2.3 g,7.9 g,3 g,1.2 g,6.8 g,1.1 g,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/dillkyckling-leif-mannerstr%C3%B6m-400g-dafg%C3%A5rd/2120217
Kanelbullar Fryst 12-p 420g ICA,"37,90 kr","0.42kg 90,24 kr/kg",363 kcal,1527 kJ,11 g,1.3 g,59 g,23 g,2.3 g,5.8 g,1.3 g,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/kanelbullar-fryst-12-p-420g-ica/1333446
Pizza Tradizionale Spinaci E Ricotta Fryst 415g Dr. Oetker,"60,00 kr","0.415kg 144,58 kr/kg",208 kcal,873 kJ,6.8 g,2.6 g,27 g,3.3 g,2 g,7.9 g,0.97 g,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/pizza-tradizionale-spinaci-e-ricotta-fryst-415g-dr-oetker/2093800
Hamburgare 20-p 1800g ICA,"219,00 kr","1.8kg 121,67 kr/kg",254 kcal,1056 kJ,20 g,8.8 g,4.4 g,0.5 g,,13 g,1.2 g,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/hamburgare-20-p-1800g-ica/2161428
Haricots verts Fryst Ekologisk 450g ICA I love eco,"29,90 kr","0.45kg 66,44 kr/kg",,,,,,,,,,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/haricots-verts-fryst-ekologisk-450g-ica-i-love-eco/1344595
Farfars Delikatessköttbullar 400g Dafgård,"41,90 kr","0.4kg 104,75 kr/kg",155 kcal,649 kJ,12 g,4.6 g,6.5 g,1.7 g,0.9 g,4.7 g,1.2 g,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/farfars-delikatessk%C3%B6ttbullar-400g-dafg%C3%A5rd/2093859
Torsk & laxtärningar Fryst 300g ICA,"108,00 kr","0.3kg 360,00 kr/kg",460 kcal,110 kJ,10 g,2 g,0 g,0 g,,18 g,0.17 g,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/torsk-laxt%C3%A4rningar-fryst-300g-ica/1309030
Gräddglass Vanilj utan tillsatt socker 750ml SIA Glass,"49,90 kr","0.75L 66,53 kr/l",190 kcal,800 kJ,12 g,7.8 g,14 g,6 g,8.9 g,3.8 g,0.1 g,,0 µg,0 µg,0 µg,0 µg,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/gr%C3%A4ddglass-vanilj-utan-tillsatt-socker-750ml-sia-glass/2086115
Ramslök 40g ICA,"14,90 kr","0.04kg 372,50 kr/kg",32 kcal,132 kJ,0.5 g,0.1 g,1.6 g,1.6 g,3.4 g,3.5 g,0.03 g,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/ramsl%C3%B6k-40g-ica/2105045
Pan Pizza Halloumi Dream 170g Billys,"18,90 kr","0.17kg 111,18 kr/kg",241 kcal,1009 kJ,9.8 g,4.4 g,27 g,1.9 g,1.6 g,10 g,1.1 g,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/pan-pizza-halloumi-dream-170g-billys/2045720
Rödspättafiléer Fryst 400g ICA,"102,00 kr","0.4kg 255,00 kr/kg",70 kcal,310 kJ,1.1 g,0.5 g,0 g,0 g,,15 g,0.4 g,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/r%C3%B6dsp%C3%A4ttafil%C3%A9er-fryst-400g-ica/1373762
Black & white Måltid Fryst 380g Findus,"44,90 kr","0.38kg 118,16 kr/kg",153 kcal,635 kJ,9.5 g,4 g,11 g,1.5 g,2.1 g,4.7 g,0.94 g,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/black-white-m%C3%A5ltid-fryst-380g-findus/2093841
Farmarbiff 440g Dafgård,"41,90 kr","0.44kg 95,23 kr/kg",154 kcal,643 kJ,9.2 g,3.7 g,13 g,2.5 g,1.4 g,4.9 g,1 g,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/farmarbiff-440g-dafg%C3%A5rd/2093876
Pizza X-tra allt Pepperoni 350g Grandiosa,"60,00 kr","0.35kg 171,43 kr/kg",290 kcal,1214 kJ,16 g,6.2 g,24 g,2 g,,12 g,1.2 g,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/pizza-x-tra-allt-pepperoni-350g-grandiosa/2077945
Piggelin 10-p 550ml GB Glace,"56,00 kr","10 per frp 5,60 kr/st",50 kcal,210 kJ,0.5 g,0.1 g,12 g,12 g,0.5 g,0.5 g,0.01 g,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/piggelin-10-p-550ml-gb-glace/2094359
Kebabpaj 210g Felix,"40,90 kr","0.21kg 194,76 kr/kg",276 kcal,1155 kJ,18 g,9.9 g,17 g,2.3 g,,10 g,1 g,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/kebabpaj-210g-felix/2142925
